IpwEpsGreedy,IpwBootTS,RandomAction,eps_greedy_policy,optimal_outcome_actions
1099.5924417719957,1996.9183206513703,1267.417779306829,53,2203.5714600460474
1572.4182801643997,1784.746873289666,1330.5666924394482,21,2151.9885214399546
1677.822128991335,1941.8610220396536,1398.337675215816,18,2178.477664495018
1545.1848509647505,1812.801282634545,1301.0861102310223,87,2032.7477218171202
1645.5770149176863,1708.588924254987,1484.9994428511804,97,2132.6082943547394
1778.9636485514188,1809.814060840303,1327.928316047448,18,2169.5157537123555
1737.7060752905932,1831.0986035710716,1635.7025444617493,18,2130.084744015416
1637.989845194744,1531.7526966701275,1422.8624494647854,97,2007.1682775621161
1771.803599393211,1814.4919478872232,1338.6550447401971,97,2062.149851197973
1654.5355734179327,1607.7203789833802,1591.1481842625217,97,2183.350901889177
1602.1295775278027,1702.7605496462338,1403.4739133162855,67,2146.214816344472
1727.8770865321903,1483.1789733895807,1474.7903728411854,97,2071.709378436759
1743.7902490829022,1547.6697977786787,1512.1306550138577,18,1949.9631941717957
1838.6343391873388,1826.076628437976,1344.11533760962,97,2177.173088601889
1583.647807632009,1936.8673369153303,1222.0196557426864,18,2100.5172156590015
1637.5571507960374,1670.349892024945,1303.0049817202269,96,1991.316549298134
1482.3790749474617,1861.1092805836865,1096.616456655297,18,2095.334677031886
1931.6879185933783,1496.0303891825483,1216.187329932755,97,2029.2253158427914
1597.3693016330049,1713.3300790380877,1148.572671752191,96,1979.8031713532246
1884.7391093070187,1638.1825318430756,1426.1813186449317,97,1989.151434851042
1885.527134168523,1501.5628807585192,1366.0710681162802,97,2015.589106871201
1762.8810612711911,1890.4556384232196,1338.0657000064868,67,2161.9403118355776
1749.6570168046933,1675.4505679111123,1357.6040988907491,97,1997.3382373421446
1776.5362937081252,1959.0973533767078,1335.823822923131,97,2171.6640513223074
1551.034839512196,1716.7584923768031,1167.5228720645941,18,2197.795478374108
1740.2417793143063,1623.6539594051162,1306.4173496208807,97,1849.6593200335035
1556.7488465160222,1684.455930005244,1400.9706762336448,18,2269.3802443373547
1596.7771492965903,1517.9538176384897,1289.832258331186,97,2100.0381916403526
1906.5718151701165,1639.9580978607466,1192.0366238781867,97,1857.283656338648
1782.1316346207796,1842.2998044543426,1453.6086570623163,47,2111.6613407206564
1765.704878569545,1765.381069218218,1482.9090969877625,97,2105.3048830992375
1675.474220672702,1826.5513932578433,1273.6216408275063,97,2209.604308495176
1678.3540530893663,1577.745541021055,1284.4854503891283,97,2028.8408078645377
1578.0640294562504,1893.1166243116468,1423.3875007908637,97,2081.0989260208403
1618.1469011061727,1861.5709998492432,1365.8483244934303,97,2076.0154395966
1934.433050105791,1817.7328061403493,1496.2991417406959,97,2105.936671980114
1899.0294435174221,1708.442278300926,1614.0698763979215,96,2040.4276745486595
1805.7304195826134,2037.455935285202,1425.5576404633434,18,2230.038885843227
1694.7867664679789,1588.7713418685307,1262.810328618693,18,2005.0653229268441
1513.4923850186103,1705.133900290679,1219.358172848759,18,2097.2621106593647
1724.9887641101152,1776.3454035991845,1102.3828055456727,97,2037.178403879232
1936.850952706883,1565.0067010484051,1314.9984753546291,97,2129.9366332295285
1621.7434803027006,1645.5446389148528,1270.1751402825437,18,1974.615388798648
1760.1229596954815,1827.577662866189,1488.17615500724,97,2181.468220967269
1765.397290631083,1646.1570799648239,1276.1204549369306,97,2100.792445387282
1656.9051071610393,1806.7005195453794,1464.272189992595,96,2184.834516200139
1634.4849046127263,1933.7279918424235,1442.7495936106181,97,2284.5242162297127
1436.7300861180852,1825.5959997923892,1512.4087776044357,18,2095.1975445088256
1798.3319987375496,1925.8426840317422,1539.5455413368795,97,2121.2270704297107
1702.8741930889412,1857.541833615313,1465.9128686085555,97,2121.222787923997
1599.4122266763854,1904.1847036740473,1654.0703103888382,97,2135.3759502696084
1821.0700878019773,1641.7302223557328,1200.9745754081086,18,1992.4960138546462
1785.3254541788792,1664.7772448813841,1392.729131690385,18,2086.2327597351077
1662.1072832782413,1771.526964121055,1507.2762600966405,18,2132.7073040741293
1765.1744922650787,1934.8905304826715,1475.0158949433758,18,2176.7912873326236
1694.9218688030485,1595.0357051440894,1306.9510504464263,18,2180.1575637878027
1624.5596912243986,1806.5038818334747,1537.792983306404,97,2103.267224371489
1811.616331119606,1763.6092570835708,1364.2626562720152,18,2122.832856768302
1618.190581020925,1849.9917246115447,1466.886500351546,97,2149.173752157738
1599.8298673929266,1879.2450643685359,1273.0948330725514,18,2112.8806911715324
1863.3583341649228,1702.651008867289,1322.3653631469003,97,2075.780766434097
1781.2697202927675,1795.959135391109,1494.8151908912475,97,2232.7195909186457
1613.650351447238,1667.5708172389677,1352.5903624425114,97,1999.6873317799964
1705.9174886287294,1732.076614104666,1485.18767228832,97,2148.9340081321984
1702.9563074422479,1588.4175707310228,1553.2184014341944,97,2045.5523439087858
1735.0238441357876,1771.6211606135248,1596.6674609250492,97,2193.5337271188246
1605.2276904606529,1700.5969089711753,1377.3588154527183,97,2084.1923236212124
1571.9168075250163,1760.6540496211355,1360.6575422463766,97,2018.8783582013327
1787.190390560269,1548.2472744060012,1202.5709932582213,97,2022.4662135673814
1903.7482654396383,1705.9395323851563,1216.2970029348294,97,2133.184618519198
2016.1582885484577,1732.4398940719643,1629.8513498565349,97,2254.9656952893356
1617.6932938744,1708.4878518579949,1363.3913429572158,97,2061.748289600241
1757.1780621151504,1708.1210178117115,1499.452354811883,97,2075.1954042973975
1929.7165425843546,1708.8753365086877,1249.5689018651035,97,2026.8079426070126
1792.1972808079497,1809.2504800012402,1287.091645134175,97,2015.52484215287
1934.7369348890609,1692.7914044883037,1333.430104306986,97,2106.184809483463
1692.8914082145754,1733.1340410582588,1621.2490217966529,21,2078.5118418882907
1836.2281522236885,2062.4688528105667,1370.937743846738,97,2236.613528037207
1684.1676547791408,1771.3422346526177,1436.9525116220927,97,2146.577630885128
1828.6435595311343,1596.6323859802062,1302.8811973789986,96,2181.721776103576
1591.2308684302254,1667.677935925318,1336.0229971418855,96,2080.316366573786
1752.4761638415002,1787.0781660926657,1210.6063951663766,96,2110.540805460625
1893.6826622873466,1716.7176634975183,1368.3362484377467,96,2100.762397546781
1760.5848786535566,1436.042651337834,1332.8601384526085,96,2063.992391970491
2025.9859158583392,1846.2805438557634,1275.681222695591,97,2099.944927781742
1833.6924885264941,1743.241096571541,1553.143696806469,18,2045.0690189143897
1839.4417737031822,1920.9811377818844,1412.139895079742,96,2069.9361932257616
1523.7064372984541,1877.1031163643645,1374.2523740030354,97,2171.216176282358
1683.216581954919,1820.9694242801884,1354.6513299349285,97,2125.379929866904
1899.2017617094834,1607.8567815806884,1417.5401045711833,97,2029.3998366336473
1757.3163793502338,1885.7712911775507,1325.5285375402673,97,2222.996525759888
1893.0125693443495,1851.8138955276297,1458.9184435025945,97,2208.550260000342
1849.5217597662404,1813.9445619521966,1205.0455325413218,97,2088.6463682265885
1518.3954878446043,1771.3563480693806,1403.7487901535633,21,1961.0904435778446
1803.7159933456703,1455.469478736795,1404.656238744671,97,2097.366914995513
1455.5533525678638,2025.9192044855306,1477.1636290058143,21,2265.371517494645
1581.0241009645356,2081.3413945545276,1618.223842937192,97,2233.5117218188234
1858.9706109114659,1727.694086442458,1422.609881394412,97,2045.365062479564
1738.9500412037646,1649.2012544213276,1164.6426827290948,97,1995.083943038981
1561.5214638361113,1581.2566270463453,1520.668206733923,97,2111.026663686343
1673.4526006958063,1879.7624649797667,1398.6753218056922,97,2195.6799312832572
